file,cf,bw
0.npy,10.204706715362816,1.5955550909784335
1.npy,10.512421861208892,1.6579662464524603
1.npy,20.799118974716077,2.6536427302457217
1.npy,31.87299769261475,1.4423935788294873
11.npy,11.219497204350484,1.4849753584738283
11.npy,21.570962899393546,2.8197898135082125
11.npy,25.2845988093016,4.542389439652657
13.npy,10.222437088409587,1.7260877779430424
14.npy,10.162495298877628,1.4784392362691463
14.npy,15.51945643594958,4.325529564390919
14.npy,20.373446525412334,2.344643709182481
14.npy,32.836083922367905,0.8361575861577263
14.npy,46.61081878220619,7.585821752143281
15.npy,10.673685506308544,1.6716664243980812
15.npy,19.14464547883397,1.9898538706054205
15.npy,22.218187854239712,3.144119945443762
15.npy,44.907243752963026,3.967691910301177
16.npy,22.71260359429474,4.380057285884876
16.npy,27.06669982022825,2.451689294970172
16.npy,34.1865707717906,0.9554603398909228
17.npy,10.679006252786461,1.7562153893611978
17.npy,20.90859696685011,2.796713683646477
18.npy,10.319699166862975,1.603043566311546
18.npy,16.38930454726279,3.7055701914515904
18.npy,21.147872099266134,1.900306505750576
19.npy,10.310091029225093,2.6772830941519508
19.npy,16.896174384562837,2.8467441411383376
19.npy,31.628044316010996,1.1806246639661477
19.npy,55.53639151383104,12.39537456889894
2.npy,9.762929999944634,2.5547004522600356
2.npy,27.91456610705747,2.1513286297326184
20.npy,10.428040569193422,1.5453344891943464
20.npy,14.84566815728901,3.169092899516175
20.npy,20.46170566131674,2.4765876631872263
20.npy,47.4687896425029,8.027883830847102
21.npy,12.74306958646667,4.396845331260237
21.npy,36.64742771979129,1.0392187379099131
22.npy,6.31915319964567,4.635904409646091
22.npy,21.97237256294497,3.3453999424815284
22.npy,26.221951291199687,1.5162339913875977
22.npy,30.95418521140549,2.927593544401888
23.npy,10.193739058396051,2.6738917740834807
23.npy,34.041968781513276,2.002746597936679
24.npy,10.741690380941344,1.4792883348876498
24.npy,13.049179014072886,3.0574730519170314
24.npy,46.19099386096759,1.1261908336537247
25.npy,11.044043448201194,1.810752383248155
25.npy,14.515399141432228,1.6197961744933418
25.npy,21.18766888402548,1.0728965494967875
25.npy,36.754145188837676,1.2681814268544984
26.npy,12.169962427321257,1.4024431564243636
26.npy,17.148271129822124,1.197516881414795
26.npy,21.805293297894323,2.1281116964773577
26.npy,25.927356069402276,3.4026049131489997
26.npy,36.27601458171545,0.8103469628442818
27.npy,10.208137517997326,1.4537187010714703
27.npy,16.205989988856768,4.080552348202496
27.npy,20.570140866902705,2.298970035405591
27.npy,49.63814160323186,9.116034536428138
28.npy,10.714331903523563,1.6148618927821003
28.npy,12.743670974976073,3.285955419837816
29.npy,10.594890105421992,1.8260251534021774
29.npy,21.594238660677632,1.9370733347185995
29.npy,34.23355449307489,1.7384827300905896
3.npy,10.717913401769774,1.5121055824717076
3.npy,20.763274603167535,2.285206974589687
3.npy,46.11869299908781,1.2736399878298759
30.npy,10.183163079578291,1.733532207200432
30.npy,16.066044752935298,4.5723415642672185
30.npy,20.80409836867968,1.9394573000302946
31.npy,12.20761840461063,1.6524749938110523
31.npy,16.750063862221495,4.490280029524447
31.npy,23.096584405783208,1.4400448442811693
32.npy,17.4146597175343,10.86008187655921
32.npy,37.21824971812006,0.39961725405911597
32.npy,40.356251553914696,0.806218210268976
32.npy,46.217066445021665,2.1950180483827038
33.npy,11.371926259088417,2.1718388612189226
33.npy,19.875047716608265,3.306309220244283
33.npy,34.24220212199083,0.8830353252227096
34.npy,10.780824875326463,2.2776709351803124
34.npy,16.967194190469215,2.51252058955785
34.npy,31.363462508202073,2.4763804679969312
34.npy,50.40628198638154,8.924746669837287
36.npy,9.639833532817844,3.079287876719003
37.npy,10.190248898869978,1.874030227285825
38.npy,10.494220757697127,2.137214714570538
38.npy,31.722271798605934,1.6786247022643508
39.npy,14.63965185824917,4.742601365022904
39.npy,19.816815396731315,1.9376594021035394
39.npy,44.84055992608705,3.8309780176040453
4.npy,11.398921081358248,4.252236661693186
4.npy,43.068133283733935,3.4730292223738335
40.npy,9.059936293413113,2.1687230124449823
40.npy,22.818040121689616,3.2776020421586716
40.npy,26.20260326909864,1.4323237168354301
40.npy,28.72277176930318,4.242709822307797
40.npy,41.31579211491613,0.9098232450038154
41.npy,10.725948665958073,1.8335559152927827
41.npy,20.748956771390148,2.979937527089776
41.npy,45.59460336069031,5.645397141698125
43.npy,8.96037046917237,1.8056995174896517
43.npy,11.22485041497121,2.179722867586769
43.npy,17.98126182228344,2.134853298518015
43.npy,47.52062138907687,7.283768418847936
45.npy,10.595419921035315,2.0331490688366087
45.npy,22.09830856509899,2.872926617019822
46.npy,9.730144716843888,2.8613129056744153
46.npy,15.445853746973874,2.813719646506502
46.npy,18.5499279405919,1.4623047313785027
46.npy,25.929011699580215,1.7861284773194361
46.npy,36.456472082554825,1.5559954956508069
47.npy,12.307589993246381,2.0665636043405082
47.npy,17.080523913003788,0.9672218958676357
47.npy,21.05855565037317,3.8100613458955275
